id,unique_name,display_name,description,url,notes
25304c10-be2e-483d-bc96-243f626e0fdb,adaptability,Adaptability,Powers up moves of the same type as the Pokémon.,https://bulbapedia.bulbagarden.net/wiki/Adaptability_(Ability),STAB increased to 2
618b1e7a-cb67-4ccc-8f4f-e5a948281ff3,anticipation,Anticipation,The Pokémon can sense an opposing Pokémon's dangerous moves.,https://bulbapedia.bulbagarden.net/wiki/Anticipation_(Ability),
121f2289-4bfb-47c8-892d-b5c686278fe8,blaze,Blaze,Powers up Fire-type moves when the Pokémon's HP is low.,https://bulbapedia.bulbagarden.net/wiki/Blaze_(Ability),"When a Pokémon with Blaze uses a Fire-type move, the move's Attack or Special Attack will be increased by 50% if the user has less than or equal to ⅓ of its maximum HP remaining."
1653bf16-cc0e-4ae6-91be-9281be12afab,cheek-pouch,Cheek Pouch,"The Pokémon's HP is restored when it eats any Berry, in addition to the Berry's usual effect.",https://bulbapedia.bulbagarden.net/wiki/Cheek_Pouch_(Ability),Restores 33% of the Pokémon's maximum HP when it consumes a Berry.
1cf3eb62-0aee-456c-9aa8-16ce40f1f04c,compound-eyes,Compound Eyes,The Pokémon's compound eyes boost its accuracy.,https://bulbapedia.bulbagarden.net/wiki/Compound_Eyes_(Ability),30%
d9034405-0d4b-410c-86f4-1e040d41b133,damp,Damp,"The Pokémon dampens its surroundings, preventing all Pokémon from using explosive moves such as Self-Destruct.",https://bulbapedia.bulbagarden.net/wiki/Damp_(Ability),"Damp prevents all Pokémon from using Self-Destruct, Explosion, Mind Blown, and Misty Explosion; if a Pokémon attempts to use one of these moves, it will fail and the user will not faint or take damage. Additionally, Damp prevents the Ability Aftermath from doing damage when the Pokémon with Aftermath faints."
7d85130a-3f8a-44a2-8b06-0a750b567033,defiant,Defiant,"If the Pokémon has any stat lowered by an opposing Pokémon, its Attack stat will be boosted sharply.",https://bulbapedia.bulbagarden.net/wiki/Defiant_(Ability),2 stages
22d986d8-d096-46b1-9692-98e7410b5128,gluttony,Gluttony,"If the Pokémon is holding a Berry to be eaten when its HP is low, it will instead eat the Berry when its HP drops to half or less.",https://bulbapedia.bulbagarden.net/wiki/Gluttony_(Ability),Gluttony causes the Pokémon to eat Berries that would normally be eaten at 25% HP or lower to be eaten at 50% HP or lower instead.
bb32441f-2009-4cb6-9dbb-f9d7804e7879,gorilla-tactics,Gorilla Tactics,Boosts the Pokémon's Attack stat but only allows the use of the first selected move.,https://bulbapedia.bulbagarden.net/wiki/Gorilla_Tactics_(Ability),Attack +50%
2842f9cf-e31a-43b4-baf0-076d85723b3a,guts,Guts,It's so gutsy that having a status condition boosts the Pokémon's Attack stat.,https://bulbapedia.bulbagarden.net/wiki/Guts_(Ability),50%
69d0d920-200b-42f7-96f7-9e88090e2030,honey-gather,Honey Gather,The Pokémon may gather Honey after a battle.,https://bulbapedia.bulbagarden.net/wiki/Honey_Gather_(Ability),"After winning a battle, any Pokémon in the player's party with Honey Gather that is not already holding an item may collect Honey, similar to Pickup, even if it did not participate in the battle and/or cannot battle.\n\nThe chance for a Pokémon with this Ability to pick up Honey depends on its level, starting at 5% if the Pokémon is between levels 1 and 10, and going up by 5% every ten levels, ending at a 50% chance at levels 91-100."
49ddb232-1095-467c-87e5-83f75516128b,huge-power,Huge Power,Doubles the Pokémon's Attack stat.,https://bulbapedia.bulbagarden.net/wiki/Huge_Power_(Ability),
28fa2e0d-ffcb-4582-93a5-a6d00b7ba00d,hustle,Hustle,Boosts the Pokémon's Attack stat but lowers its accuracy.,https://bulbapedia.bulbagarden.net/wiki/Hustle_(Ability),Attack +50% / Accuracy -20%
fd080679-327b-46d1-ae00-4e3d811712c3,inner-focus,Inner Focus,The Pokémon's intense focus prevents it from flinching or being affected by Intimidate.,https://bulbapedia.bulbagarden.net/wiki/Inner_Focus_(Ability),
b02aa1aa-93c3-4c81-9ede-30882f426acd,lightning-rod,Lightning Rod,"The Pokémon draws in all Electric-type moves. Instead of taking damage from them, its Sp. Atk stat is boosted.",https://bulbapedia.bulbagarden.net/wiki/Lightning_Rod_(Ability),
c13e1959-1fab-470c-be67-dbc943f9310c,long-reach,Long Reach,The Pokémon uses its moves without making contact with the target.,https://bulbapedia.bulbagarden.net/wiki/Long_Reach_(Ability),"If the Pokémon uses a contact move, it will not activate any effects caused by contact."
3fd19207-4627-4c86-897f-5104ac4e720d,moody,Moody,"Every turn, one of the Pokémon's stats will be boosted sharply but another stat will be lowered.",https://bulbapedia.bulbagarden.net/wiki/Moody_(Ability),2 stages; random
4b078d41-b736-428a-b656-705c2ddfe878,overgrow,Overgrow,Powers up Grass-type moves when the Pokémon's HP is low.,https://bulbapedia.bulbagarden.net/wiki/Overgrow_(Ability),"When a Pokémon with Overgrow uses a Grass-type move, the move's Attack or Special Attack will be increased by 50% if the user has less than or equal to ⅓ of its maximum HP remaining."
84d140c6-524c-4121-be8a-cd711162e254,pickup,Pickup,"The Pokémon may pick up an item another Pokémon used during a battle. It may pick up items outside of battle, too.",https://bulbapedia.bulbagarden.net/wiki/Pickup_(Ability),
7d984270-a09f-4454-869d-81598227d19e,quick-feet,Quick Feet,Boosts the Speed stat if the Pokémon has a status condition.,https://bulbapedia.bulbagarden.net/wiki/Quick_Feet_(Ability),50%
ed95c138-d800-4108-b7c9-8839bccef9c9,reckless,Reckless,Powers up moves that have recoil damage.,https://bulbapedia.bulbagarden.net/wiki/Reckless_(Ability),20%
f79f8b67-3f91-42ae-a275-ba1c75547fc6,rivalry,Rivalry,"The Pokémon's competitive spirit makes it deal more damage to Pokémon of the same gender, but less damage to Pokémon of the opposite gender.",https://bulbapedia.bulbagarden.net/wiki/Rivalry_(Ability),±25%
bfa215fd-6caa-48f3-8434-b0b838ea6125,run-away,Run Away,Enables a sure getaway from wild Pokémon.,https://bulbapedia.bulbagarden.net/wiki/Run_Away_(Ability),
