id,type,category,unique_name,display_name,description,accuracy,power,power_points,url,notes
af0720d0-633d-4bf9-ae40-e7cac9b6f49f,Normal,Physical,pound,Pound,"The target is physically pounded with a long tail, a foreleg, or the like.",100,40,35,https://bulbapedia.bulbagarden.net/wiki/Pound_(move),
7b86b2e9-fe1f-4a8f-8a73-61e2965e200f,Normal,Physical,scratch,Scratch,"Hard, pointed, sharp claws rake the target to inflict damage.",100,40,35,https://bulbapedia.bulbagarden.net/wiki/Scratch_(move),
7fd94e25-e73e-4655-a97e-92e209a5e75c,Psychic,Status,teleport,Teleport,"The user switches places with a party Pokémon in waiting, if any. If a wild Pokémon uses this move, it flees.",,,20,https://bulbapedia.bulbagarden.net/wiki/Teleport_(move),
2e307d03-1f7b-4552-9cc3-c07970979575,Ghost,Special,night-shade,Night Shade,The user makes the target see a frightening mirage. It inflicts damage equal to the user's level.,100,,15,https://bulbapedia.bulbagarden.net/wiki/Night_Shade_(move),
6b3f41f4-5e3e-4f84-888e-7a9bc107226a,Normal,Status,mimic,Mimic,The user copies the move last used by the target. The copied move can be used until the user of Mimic leaves the battle.,,,10,https://bulbapedia.bulbagarden.net/wiki/Mimic_(move),
7369bce0-fa92-4861-984b-4db1616911e7,Normal,Status,screech,Screech,An earsplitting screech harshly lowers the target's Defense stat.,85,,40,https://bulbapedia.bulbagarden.net/wiki/Screech_(move),
9eec4735-56d9-4fe8-9add-87f128703536,Normal,Status,double-team,Double Team,"By moving rapidly, the user makes illusory copies of itself to boost its evasiveness.",,,15,https://bulbapedia.bulbagarden.net/wiki/Double_Team_(move),
e3c6061f-4bec-4347-b197-58e370845a14,Normal,Status,recover,Recover,"The user regenerates its cells, restoring its own HP by up to half its max HP.",,,5,https://bulbapedia.bulbagarden.net/wiki/Recover_(move),
09fd8699-296c-4aba-8db4-bea9283526d9,Normal,Status,harden,Harden,The user stiffens all the muscles in its body to boost its Defense stat.,,,30,https://bulbapedia.bulbagarden.net/wiki/Harden_(move),
f39e779b-1e71-4802-8a0e-916f070a523b,Normal,Status,minimize,Minimize,"The user compresses its body to make itself look smaller, which sharply boosts its evasiveness.",,,10,https://bulbapedia.bulbagarden.net/wiki/Minimize_(move),
62193311-cb72-42cf-8a6f-e6e4cbab3fad,Normal,Status,smokescreen,Smokescreen,The user releases an obscuring cloud of smoke or ink. This lowers the target's accuracy.,100,,20,https://bulbapedia.bulbagarden.net/wiki/Smokescreen_(move),
02a9a05e-f326-47c2-836f-517f55834a3d,Ghost,Status,confuse-ray,Confuse Ray,The target is exposed to a sinister ray that causes confusion.,100,,10,https://bulbapedia.bulbagarden.net/wiki/Confuse_Ray_(move),
a3417e2e-5970-4773-9ed6-e3cbfc9e29bd,Normal,Physical,vice-grip,Vise Grip,The target is gripped and squeezed from both sides to inflict damage.,100,55,30,https://bulbapedia.bulbagarden.net/wiki/Vise_Grip_(move),
4a35f258-24c1-4eeb-995d-1025c9e91ca5,Water,Status,withdraw,Withdraw,"The user withdraws its body into its hard shell, boosting its Defense stat.",,,40,https://bulbapedia.bulbagarden.net/wiki/Withdraw_(move),
b3341775-1eea-4cf6-a2dd-75a5b77e28c7,Normal,Status,defense-curl,Defense Curl,The user curls up and boosts its Defense stat.,,,40,https://bulbapedia.bulbagarden.net/wiki/Defense_Curl_(move),
bcb0a459-2ecb-43b5-8737-78d9cc0b3858,Psychic,Status,barrier,Barrier,,,,20,https://bulbapedia.bulbagarden.net/wiki/Barrier_(move),
edf08a22-31b9-43f1-b2fd-69b34db7f549,Psychic,Status,light-screen,Light Screen,A wondrous wall of light is put up to reduce damage from special moves for five turns.,,,30,https://bulbapedia.bulbagarden.net/wiki/Light_Screen_(move),
18dd8736-b094-4cc0-8c31-44abcb63018b,Ice,Status,haze,Haze,The user creates a haze that eliminates every stat change among all the Pokémon engaged in battle.,,,30,https://bulbapedia.bulbagarden.net/wiki/Haze_(move),
dfd92021-3ba3-4c68-8045-50b8a3178a98,Psychic,Status,reflect,Reflect,A wondrous wall of light is put up to reduce damage from physical moves for five turns.,,,20,https://bulbapedia.bulbagarden.net/wiki/Reflect_(move),
0e34ccf1-ba5c-412d-9468-60037000d7bd,Normal,Status,focus-energy,Focus Energy,The user takes a deep breath and focuses so that its future attacks have a heightened chance of landing critical hits.,,,30,https://bulbapedia.bulbagarden.net/wiki/Focus_Energy_(move),
58712ece-cfbe-466e-a6c5-01f70ad2b134,Normal,Physical,bide,Bide,,,,10,https://bulbapedia.bulbagarden.net/wiki/Bide_(move),
009de057-2609-4c6b-b55e-5a09f51118e3,Normal,Status,metronome,Metronome,The user waggles a finger and stimulates its brain into randomly using nearly any move.,,,10,https://bulbapedia.bulbagarden.net/wiki/Metronome_(move),
abb846a3-9dae-47ed-b572-7b7653c10b48,Flying,Status,mirror-move,Mirror Move,,,,20,https://bulbapedia.bulbagarden.net/wiki/Mirror_Move_(move),
83f12252-a45c-49b4-aa24-b8e4187e001e,Normal,Physical,guillotine,Guillotine,A vicious tearing attack with big pincers. The target faints instantly if this attack hits.,30,,5,https://bulbapedia.bulbagarden.net/wiki/Guillotine_(move),
185c7c90-cd06-4218-b2d1-c3c81dd471a7,Normal,Physical,self-destruct,Self-Destruct,The user attacks everything around it by causing an explosion. The user faints upon using this move.,100,200,5,https://bulbapedia.bulbagarden.net/wiki/Self-Destruct_(move),
654a28b3-a1d0-4817-b1e6-7bd0668b1b09,Normal,Physical,egg-bomb,Egg Bomb,,75,100,10,https://bulbapedia.bulbagarden.net/wiki/Egg_Bomb_(move),
431ae597-41b4-4582-9ffe-abf76821ac95,Ghost,Physical,lick,Lick,The user licks the target with a long tongue to inflict damage. This may also leave the target with paralysis.,100,30,30,https://bulbapedia.bulbagarden.net/wiki/Lick_(move),
e59f14ce-63ed-4be2-8f29-ef3034137e6f,Poison,Special,smog,Smog,The target is attacked with a discharge of filthy gases. This may also poison the target.,70,30,20,https://bulbapedia.bulbagarden.net/wiki/Smog_(move),
3dbd996a-10c8-4149-9d26-6e40965d16ed,Poison,Special,sludge,Sludge,The user hurls unsanitary sludge at the target to inflict damage. This may also poison the target.,100,65,20,https://bulbapedia.bulbagarden.net/wiki/Sludge_(move),
6e9872f8-c319-42b4-9158-1bea08dab53b,Ground,Physical,bone-club,Bone Club,,85,65,20,https://bulbapedia.bulbagarden.net/wiki/Bone_Club_(move),
41e24e28-dc88-43b4-ad09-d50fb876cabb,Fire,Special,fire-blast,Fire Blast,The target is attacked with an intense blast of all-consuming fire. This may also leave the target with a burn.,85,110,5,https://bulbapedia.bulbagarden.net/wiki/Fire_Blast_(move),
522781d1-a2cf-440e-9f3d-39568038f5b6,Water,Physical,waterfall,Waterfall,The user charges at the target and may make it flinch.,100,80,15,https://bulbapedia.bulbagarden.net/wiki/Waterfall_(move),
c036ee72-fbaa-4d4a-b27a-265bfd39572d,Water,Physical,clamp,Clamp,,85,35,15,https://bulbapedia.bulbagarden.net/wiki/Clamp_(move),
527e71a9-a4e2-4a9e-83ea-ac9011881ba5,Normal,Special,swift,Swift,Star-shaped rays are shot at opposing Pokémon. This attack never misses.,,60,20,https://bulbapedia.bulbagarden.net/wiki/Swift_(move),
c29d86e1-f8a1-4eca-8c36-23a1c467612f,Normal,Special,razor-wind,Razor Wind,,100,80,10,https://bulbapedia.bulbagarden.net/wiki/Razor_Wind_(move),
fee0aca4-262a-4491-a78e-ace120d08e1e,Normal,Physical,skull-bash,Skull Bash,,100,130,10,https://bulbapedia.bulbagarden.net/wiki/Skull_Bash_(move),
fb8674bb-e1df-446b-aaa4-54ee27444235,Normal,Physical,spike-cannon,Spike Cannon,,100,20,15,https://bulbapedia.bulbagarden.net/wiki/Spike_Cannon_(move),
51c0e975-199c-4667-803a-87c1b6c0ca10,Normal,Physical,constrict,Constrict,,100,10,35,https://bulbapedia.bulbagarden.net/wiki/Constrict_(move),
8e7a79ae-cfe6-42ec-ba28-24211a15dc96,Psychic,Status,amnesia,Amnesia,The user temporarily empties its mind to forget its concerns. This sharply boosts the user's Sp. Def stat.,,,20,https://bulbapedia.bulbagarden.net/wiki/Amnesia_(move),
9bf09123-1a14-4344-ac90-ec8f1a702edb,Psychic,Status,kinesis,Kinesis,,80,,15,https://bulbapedia.bulbagarden.net/wiki/Kinesis_(move),
e5d217ea-a0bf-40cd-b83e-7aab22f14581,Normal,Status,soft-boiled,Soft-Boiled,The user restores its own HP by up to half its max HP.,,,5,https://bulbapedia.bulbagarden.net/wiki/Soft-Boiled_(move),
2651296e-ede6-4d2d-b2a1-006778c82042,Fighting,Physical,high-jump-kick,High Jump Kick,"The target is attacked with a knee kick from a jump. If this move misses, the user takes damage instead.",90,130,10,https://bulbapedia.bulbagarden.net/wiki/High_Jump_Kick_(move),
2f318a74-956b-4164-a21b-6038e600ec36,Normal,Status,glare,Glare,The user intimidates the target with the pattern on its belly to cause paralysis.,100,,30,https://bulbapedia.bulbagarden.net/wiki/Glare_(move),
93278265-bb6f-4155-947b-72863b34546b,Psychic,Special,dream-eater,Dream Eater,The user eats the dreams of a sleeping target. The user's HP is restored by up to half the damage taken by the target.,100,100,15,https://bulbapedia.bulbagarden.net/wiki/Dream_Eater_(move),
34568671-d615-465b-8f17-62be538419fa,Poison,Status,poison-gas,Poison Gas,"A cloud of poison gas is sprayed in the faces of opposing Pokémon, poisoning those it hits.",90,,40,https://bulbapedia.bulbagarden.net/wiki/Poison_Gas_(move),
885e016e-380d-4bdf-872b-f09f71c2ce7c,Normal,Status,swords-dance,Swords Dance,A frenetic dance to uplift the fighting spirit. This sharply boosts the user's Attack stat.,,,20,https://bulbapedia.bulbagarden.net/wiki/Swords_Dance_(move),
923c8c54-c2ce-4e98-bfb2-c9212b418d8d,Normal,Physical,barrage,Barrage,,85,15,20,https://bulbapedia.bulbagarden.net/wiki/Barrage_(move),
6de351cb-8311-4527-adf1-06694d80ca7c,Bug,Physical,leech-life,Leech Life,The user drains the target's blood. The user's HP is restored by up to half the damage taken by the target.,100,80,10,https://bulbapedia.bulbagarden.net/wiki/Leech_Life_(move),
c5b920c7-d1ef-477b-9d48-c5d08a677314,Normal,Status,lovely-kiss,Lovely Kiss,,75,,10,https://bulbapedia.bulbagarden.net/wiki/Lovely_Kiss_(move),
c7037a80-7de3-4ccb-a8ca-b4bee60752aa,Flying,Physical,sky-attack,Sky Attack,The user attacks the turn after using this move. This move has a heightened chance of landing a critical hit and may also make the target flinch.,90,140,5,https://bulbapedia.bulbagarden.net/wiki/Sky_Attack_(move),
3b57a9c8-faa1-4659-bfd3-0d08dcc2376e,Normal,Status,transform,Transform,"The user transforms into a copy of the target, right down to having the same move set.",,,10,https://bulbapedia.bulbagarden.net/wiki/Transform_(move),
a1b494f3-c64d-4bb5-80ba-566d3bd81724,Water,Special,bubble,Bubble,,100,40,30,https://bulbapedia.bulbagarden.net/wiki/Bubble_(move),
11927255-6b06-4c77-9078-6a3bf83a1472,Normal,Physical,dizzy-punch,Dizzy Punch,,100,70,10,https://bulbapedia.bulbagarden.net/wiki/Dizzy_Punch_(move),
a1af63d9-d8bd-4836-a3c4-7342c97e4e76,Grass,Status,spore,Spore,The user scatters bursts of spores that induce sleep.,100,,15,https://bulbapedia.bulbagarden.net/wiki/Spore_(move),
52f4c41e-fbd6-46b3-92fd-0c55deacb122,Normal,Status,flash,Flash,,100,,20,https://bulbapedia.bulbagarden.net/wiki/Flash_(move),
b03edf12-3632-4c38-939d-85eea9c6e9fc,Psychic,Special,psywave,Psywave,,100,,15,https://bulbapedia.bulbagarden.net/wiki/Psywave_(move),
1ff1795c-dc7a-4e82-a5f6-62ebcc088cb3,Normal,Physical,cut,Cut,,95,50,30,https://bulbapedia.bulbagarden.net/wiki/Cut_(move),
f4fb531e-b15e-4cf5-ad6e-82f108bec164,Normal,Status,splash,Splash,The user just flops and splashes around to no effect at all...,,,40,https://bulbapedia.bulbagarden.net/wiki/Splash_(move),
233d64f3-a4b8-42ae-adf3-9d3c514e5918,Poison,Status,acid-armor,Acid Armor,"The user alters its cellular structure to liquefy itself, sharply boosting its Defense stat.",,,20,https://bulbapedia.bulbagarden.net/wiki/Acid_Armor_(move),
979e0ac6-d931-4028-9960-b89721e2e6d3,Water,Physical,crabhammer,Crabhammer,The target is hammered with a large pincer. This move has a heightened chance of landing a critical hit.,90,100,10,https://bulbapedia.bulbagarden.net/wiki/Crabhammer_(move),
a09fdc80-1d62-4a70-8566-dd77c2b35277,Normal,Physical,explosion,Explosion,The user attacks everything around it by causing a tremendous explosion. The user faints upon using this move.,100,250,5,https://bulbapedia.bulbagarden.net/wiki/Explosion_(move),
59975168-473a-421a-95f7-2f4c3994fc81,Normal,Physical,fury-swipes,Fury Swipes,"The user attacks by raking the target with claws, scythes, or the like. This move hits two to five times in a row.",80,18,15,https://bulbapedia.bulbagarden.net/wiki/Fury_Swipes_(move),
068b7ad4-dec1-4621-bce1-3be140cfc4f2,Ground,Physical,bonemerang,Bonemerang,,90,50,10,https://bulbapedia.bulbagarden.net/wiki/Bonemerang_(move),
949673ea-2ebc-4145-b2eb-cd5b911f80d5,Psychic,Status,rest,Rest,The user goes to sleep for two turns. This fully restores the user's HP and cures any status conditions.,,,5,https://bulbapedia.bulbagarden.net/wiki/Rest_(move),
96227d13-4d62-4b62-b564-bfecc5c98c11,Rock,Physical,rock-slide,Rock Slide,Large boulders are hurled at opposing Pokémon to inflict damage. This may also make the opposing Pokémon flinch.,90,75,10,https://bulbapedia.bulbagarden.net/wiki/Rock_Slide_(move),
5f11176c-ac95-49ab-b092-26c992bc3bae,Normal,Physical,hyper-fang,Hyper Fang,,90,80,15,https://bulbapedia.bulbagarden.net/wiki/Hyper_Fang_(move),
96d6061d-56ac-4f07-b818-8b69212894b3,Normal,Status,sharpen,Sharpen,,,,30,https://bulbapedia.bulbagarden.net/wiki/Sharpen_(move),
a7696d1c-7801-4690-8777-f7b885a3d24f,Flying,Special,gust,Gust,A gust of wind is whipped up by wings and launched at the target to inflict damage.,100,40,35,https://bulbapedia.bulbagarden.net/wiki/Gust_(move),
1ec0430e-51a5-4f3b-98b2-b9ded49245ec,Normal,Status,conversion,Conversion,The user changes its type to become the same type as the move at the top of the list of moves it knows.,,,30,https://bulbapedia.bulbagarden.net/wiki/Conversion_(move),
aa37900a-61e7-42b0-aa87-d8819004b019,Normal,Special,tri-attack,Tri Attack,"The user strikes with a simultaneous three-beam attack. This may also burn, freeze, or paralyze the target.",100,80,10,https://bulbapedia.bulbagarden.net/wiki/Tri_Attack_(move),
3916f341-e34b-4ed2-a817-19fcb60572dd,Normal,Physical,super-fang,Super Fang,The user chomps hard on the target with its sharp front fangs. This cuts the target's HP in half.,90,,10,https://bulbapedia.bulbagarden.net/wiki/Super_Fang_(move),
39166c5f-50d1-4070-87e5-0507aca36e1a,Normal,Physical,slash,Slash,"The target is attacked with a slash of claws, scythes, or the like. This move has a heightened chance of landing a critical hit.",100,70,20,https://bulbapedia.bulbagarden.net/wiki/Slash_(move),
3656d015-2ad5-47b6-b6d8-a45c60ff908b,Normal,Status,substitute,Substitute,The user creates a substitute for itself using some of its own HP. The substitute serves as the user's decoy.,,,10,https://bulbapedia.bulbagarden.net/wiki/Substitute_(move),
a3342ccc-c3f0-4361-907b-23e1b676262f,Normal,Physical,struggle,Struggle,,,50,1,https://bulbapedia.bulbagarden.net/wiki/Struggle_(move),
62bea88c-4a07-40a2-8163-a241d9a9f682,Normal,Status,sketch,Sketch,"This move enables the user to permanently learn the move last used by the target. Once used, Sketch disappears.",,,1,https://bulbapedia.bulbagarden.net/wiki/Sketch_(move),
5e73a591-bc4c-4b4d-9e8e-1a0f3f51691f,Fighting,Physical,triple-kick,Triple Kick,A consecutive three-kick attack that becomes more powerful with each successful hit.,90,10,10,https://bulbapedia.bulbagarden.net/wiki/Triple_Kick_(move),
df86f176-ecda-4c48-9096-4c0c37c3c651,Dark,Physical,thief,Thief,The user attacks and steals the target's held item simultaneously. The user can't steal anything if it already holds an item.,100,60,25,https://bulbapedia.bulbagarden.net/wiki/Thief_(move),
875e0926-c190-46bc-bc56-791597c45573,Bug,Status,spider-web,Spider Web,,,,10,https://bulbapedia.bulbagarden.net/wiki/Spider_Web_(move),
6c0a25b9-4118-4f86-8c14-6502bb83514e,Flying,Physical,wing-attack,Wing Attack,"The target is struck with large, imposing wings spread wide to inflict damage.",100,60,35,https://bulbapedia.bulbagarden.net/wiki/Wing_Attack_(move),
4a458b2e-39ef-4734-968f-c3079caa0aa1,Normal,Status,mind-reader,Mind Reader,,,,5,https://bulbapedia.bulbagarden.net/wiki/Mind_Reader_(move),
14520521-3744-4d6e-b8ef-d5cd0b6db05d,Ghost,Status,nightmare,Nightmare,,100,,15,https://bulbapedia.bulbagarden.net/wiki/Nightmare_(move),
8fad64b7-71b5-467f-9a62-cf06eae0f37b,Fire,Physical,flame-wheel,Flame Wheel,The user attacks by cloaking itself in fire and charging at the target. This may also leave the target with a burn.,100,60,25,https://bulbapedia.bulbagarden.net/wiki/Flame_Wheel_(move),
543e7e51-8488-433a-855c-aa94786e224c,Normal,Special,snore,Snore,This attack can be used only if the user is asleep. The harsh noise may also make the target flinch.,100,50,15,https://bulbapedia.bulbagarden.net/wiki/Snore_(move),
5470bd12-dba7-4d51-aa03-fa943f59692d,Ghost,Status,curse,Curse,A move that has different effects depending on whether the user is a Ghost type or not.,,,10,https://bulbapedia.bulbagarden.net/wiki/Curse_(move),
6077a3d1-973c-4bba-bf14-32d13ba2fd7b,Normal,Physical,flail,Flail,"The user flails about aimlessly to attack. The less HP the user has, the greater the move's power.",100,,15,https://bulbapedia.bulbagarden.net/wiki/Flail_(move),
bf1a4316-23d9-4b56-9ba8-34fd01fd9419,Normal,Status,conversion-2,Conversion 2,The user changes its type to make itself resistant to the type of the move the target used last.,,,30,https://bulbapedia.bulbagarden.net/wiki/Conversion_2_(move),
4df14f02-523b-4dbc-9327-3f416a2bad71,Flying,Special,aeroblast,Aeroblast,A vortex of air is shot at the target to inflict damage. This move has a heightened chance of landing a critical hit.,95,100,5,https://bulbapedia.bulbagarden.net/wiki/Aeroblast_(move),
67b10aa4-d562-4b1e-9112-86a48afb11b4,Grass,Status,cotton-spore,Cotton Spore,The user releases cotton-like spores that cling to opposing Pokémon. This harshly lowers their Speed stats.,100,,40,https://bulbapedia.bulbagarden.net/wiki/Cotton_Spore_(move),
a13e1722-e0ba-4a56-9579-07ed8c1b6337,Fighting,Physical,reversal,Reversal,An all-out attack that becomes more powerful the less HP the user has.,100,,15,https://bulbapedia.bulbagarden.net/wiki/Reversal_(move),
feb7b487-7b0e-4615-a194-ac53075fb1e4,Normal,Status,whirlwind,Whirlwind,"The target is blown away, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon.",,,20,https://bulbapedia.bulbagarden.net/wiki/Whirlwind_(move),
b2a40320-a729-4207-b48c-4ec83c62f839,Ghost,Status,spite,Spite,The user unleashes its grudge on the move last used by the target by cutting 4 PP from it.,100,,10,https://bulbapedia.bulbagarden.net/wiki/Spite_(move),
cf05b364-e549-4a34-9bee-de397a55d36c,Ice,Special,powder-snow,Powder Snow,The user attacks with a chilling gust of powdery snow. This may also leave opposing Pokémon frozen.,100,40,25,https://bulbapedia.bulbagarden.net/wiki/Powder_Snow_(move),
cb1e0310-b2b1-4c31-98c5-78ae1f46277d,Normal,Status,protect,Protect,This move enables the user to protect itself from all attacks. Its chance of failing rises if it is used in succession.,,,10,https://bulbapedia.bulbagarden.net/wiki/Protect_(move),
0ea9f699-f2c1-49e2-9e70-070d425db140,Fighting,Physical,mach-punch,Mach Punch,The user throws a punch at blinding speed. This move always goes first.,100,40,30,https://bulbapedia.bulbagarden.net/wiki/Mach_Punch_(move),
8ffea6bf-b3ff-453e-82b2-4f9a94efab55,Normal,Status,scary-face,Scary Face,The user frightens the target with a scary face to harshly lower its Speed stat.,100,,10,https://bulbapedia.bulbagarden.net/wiki/Scary_Face_(move),
9dad8624-3f90-4bd0-9a75-3fbcbfc3a310,Dark,Physical,feint-attack,Feint Attack,,,60,20,https://bulbapedia.bulbagarden.net/wiki/Feint_Attack_(move),
31e39741-8c1f-411b-a36a-0ddaa9f8e8b2,Fairy,Status,sweet-kiss,Sweet Kiss,"The user kisses the target with a sweet, angelic cuteness that causes confusion.",75,,10,https://bulbapedia.bulbagarden.net/wiki/Sweet_Kiss_(move),
a1580c0f-e985-4a71-85fb-548297c213b2,Normal,Status,belly-drum,Belly Drum,The user maximizes its Attack stat but loses HP equal to half its max HP.,,,10,https://bulbapedia.bulbagarden.net/wiki/Belly_Drum_(move),
89ac7280-c11d-4ed9-99fa-38064194a3c1,Poison,Special,sludge-bomb,Sludge Bomb,The user hurls unsanitary sludge at the target to inflict damage. This may also poison the target.,100,90,10,https://bulbapedia.bulbagarden.net/wiki/Sludge_Bomb_(move),
dc206723-cd81-4585-926d-7cde25fa59a9,Ground,Special,mud-slap,Mud-Slap,The user hurls mud in the target's face to inflict damage and lower its accuracy.,100,20,10,https://bulbapedia.bulbagarden.net/wiki/Mud-Slap_(move),
