id,type,category,unique_name,display_name,description,accuracy,power,power_points,url,notes
a6e5a4fd-ec52-440b-86e2-45ba41d86483,Grass,Special,absorb,Absorb,A nutrient-draining attack. The user's HP is restored by up to half the damage taken by the target.,100,20,25,https://bulbapedia.bulbagarden.net/wiki/Absorb_(move),
b9b0035e-055a-49d1-803b-b3af08f26116,Flying,Special,air-cutter,Air Cutter,The user launches razor-like wind to slash opposing Pokémon. This move has a heightened chance of landing a critical hit.,95,60,25,https://bulbapedia.bulbagarden.net/wiki/Air_Cutter_(move),
4d17c038-4e06-4ac6-a39c-cf67584ec1c2,Psychic,Status,amnesia,Amnesia,The user temporarily empties its mind to forget its concerns. This sharply boosts the user's Sp. Def stat.,,,20,https://bulbapedia.bulbagarden.net/wiki/Amnesia_(move),
d22ed22a-f22e-4fa5-b875-ca0901974a4e,Fighting,Physical,arm-thrust,Arm Thrust,The user attacks the target with open-palmed arm thrusts. This move hits two to five times in a row.,100,15,20,https://bulbapedia.bulbagarden.net/wiki/Arm_Thrust_(move),
d514afc7-7b4e-459a-bb77-426637172db5,Dark,Physical,assurance,Assurance,This move's power is doubled if the target has already taken some damage in the same turn.,100,60,10,https://bulbapedia.bulbagarden.net/wiki/Assurance_(move),
d5b4cffc-8d73-401a-a51c-48e459a34b34,Ghost,Physical,astonish,Astonish,The user attacks the target by crying out in a startling fashion. This may also make the target flinch.,100,30,15,https://bulbapedia.bulbagarden.net/wiki/Astonish_(move),Astonish inflicts damage and has a 30% chance of causing the target to flinch.
dea184c7-f190-45f4-adeb-634f0253278f,Normal,Status,attract,Attract,"If the target is of the opposite gender to the user, it becomes infatuated with the user and will sometimes be unable to use its moves.",100,,15,https://bulbapedia.bulbagarden.net/wiki/Attract_(move),
0e423057-3632-4295-9861-95d143f68dd4,Ice,Physical,avalanche,Avalanche,This move's power is doubled if the target has inflicted damage on the user in the same turn.,100,60,10,https://bulbapedia.bulbagarden.net/wiki/Avalanche_(move),
0904d8e6-4b73-40ad-872d-a51c1b259452,Fairy,Status,baby-doll-eyes,Baby-Doll Eyes,"The user stares at the target with its baby-doll eyes, which lowers the target's Attack stat. This move always goes first.",100,,30,https://bulbapedia.bulbagarden.net/wiki/Baby-Doll_Eyes_(move),
ae517769-5477-43e1-a56d-52952298dc66,Normal,Status,baton-pass,Baton Pass,The user switches places with a party Pokémon in waiting and passes along any stat changes.,,,40,https://bulbapedia.bulbagarden.net/wiki/Baton_Pass_(move),
f77b6635-e650-447c-a318-e0b5bcf2c6c3,Poison,Special,belch,Belch,The user lets out a damaging belch at the target. The user must eat a held Berry to use this move.,90,120,10,https://bulbapedia.bulbagarden.net/wiki/Belch_(move),
4374e0ea-9ab0-4b42-a153-0003f72432ae,Normal,Status,belly-drum,Belly Drum,The user maximizes its Attack stat but loses HP equal to half its max HP.,,,10,https://bulbapedia.bulbagarden.net/wiki/Belly_Drum_(move),
78a48c80-a005-468d-a761-af8a7483a1c4,Dark,Physical,bite,Bite,The target is bitten with viciously sharp fangs. This may also make the target flinch.,100,60,25,https://bulbapedia.bulbagarden.net/wiki/Bite_(move),10% chance of flinching the target
37a05083-eb65-4ed2-82d7-6061e1e6e2d6,Ice,Special,blizzard,Blizzard,A howling blizzard is summoned to strike opposing Pokémon. This may also leave the opposing Pokémon frozen.,70,110,5,https://bulbapedia.bulbagarden.net/wiki/Blizzard_(move),
8c9c66f0-3333-4cb3-a9db-4742a2ab5ed8,Normal,Physical,body-slam,Body Slam,The user attacks by dropping onto the target with its full body weight. This may also leave the target with paralysis.,100,85,15,https://bulbapedia.bulbagarden.net/wiki/Body_Slam_(move),
401bc03c-7b1c-4734-9d96-70a5f5d5cc04,Flying,Physical,brave-bird,Brave Bird,The user tucks in its wings and charges at a low altitude. This also damages the user quite a lot.,100,120,15,https://bulbapedia.bulbagarden.net/wiki/Brave_Bird_(move),
f67f6a45-46f6-4de0-84a5-cd4acb6564e4,Bug,Physical,bug-bite,Bug Bite,"The user attacks by biting the target. If the target is holding a Berry, the user eats it and gains its effect.",100,60,20,https://bulbapedia.bulbagarden.net/wiki/Bug_Bite_(move),
a3f0d055-76e7-4077-9308-abc0b3b052e0,Bug,Special,bug-buzz,Bug Buzz,The user vibrates to generate a damaging sound wave. This may also lower the target's Sp. Def stat.,100,90,10,https://bulbapedia.bulbagarden.net/wiki/Bug_Buzz_(move),10% chance to lower target Sp. Defense by one stage
